model,status,term,coef,se,t,p,n_obs,n_entities,n_periods,r2_within,diagnostic,note,tier_composition
R15 門檻 ≤30 檔/篇,OK,att_zero_base,0.00022793928998140545,0.00034738022289589363,0.6561665718365222,0.5117185416996646,95872,258,478,0.0012578601345287765,True,,dense=11774;sparse=84098
R15 門檻 ≤30 檔/篇,OK,ret_lag1,0.0005234523906098362,0.0003956137101346274,1.3231401672902219,0.18579194936558308,95872,258,478,0.0012578601345287765,True,,dense=11774;sparse=84098
R15 門檻 ≤30 檔/篇,OK,ret_lag4,-0.0004709729067209623,0.00042441027253377616,-1.109711374112606,0.2671262252297746,95872,258,478,0.0012578601345287765,True,,dense=11774;sparse=84098
R15 門檻 ≤30 檔/篇,OK,ret_lag25,0.0002865043627959215,0.0003535821872340673,0.8102907135597839,0.4177751383457624,95872,258,478,0.0012578601345287765,True,,dense=11774;sparse=84098
R15 門檻 ≤30 檔/篇,OK,log_market_cap,-0.0022193886529261538,0.0006155375806780654,-3.605610319489046,0.0003115792905517001,95872,258,478,0.0012578601345287765,True,,dense=11774;sparse=84098
R15 門檻 ≤30 檔/篇,OK,turnover,-0.0008801647757907203,0.00035174480034475393,-2.5022822652333416,0.012341214622234364,95872,258,478,0.0012578601345287765,True,,dense=11774;sparse=84098
R15 門檻 ≤30 檔/篇,OK,amihud,-0.0003000363121829033,0.0001600352484416623,-1.8748139244603703,0.06082138834915707,95872,258,478,0.0012578601345287765,True,,dense=11774;sparse=84098
R15 門檻 ≤30 檔/篇,OK,foreign_holding_pct,0.001076359220636654,0.0005758495537010561,1.869167413118167,0.061602596661987086,95872,258,478,0.0012578601345287765,True,,dense=11774;sparse=84098
R15 門檻 ≤999 檔/篇（不過濾）,OK,abn_attention_weekday,0.0003384962137239547,0.0001817549800176444,1.8623765560156544,0.06255288282870142,103515,258,478,0.0011355623397902859,True,,dense=13734;sparse=89781
R15 門檻 ≤999 檔/篇（不過濾）,OK,abn_attention_weekend,0.0002695460330417725,0.0002590415243642771,1.0405514471213637,0.2980862230172452,103515,258,478,0.0011355623397902859,True,,dense=13734;sparse=89781
R15 門檻 ≤999 檔/篇（不過濾）,OK,att_zero_base,0.0002469056820907307,0.0004032508358982246,0.6122880850098139,0.5403485261197449,103515,258,478,0.0011355623397902859,True,,dense=13734;sparse=89781
R15 門檻 ≤999 檔/篇（不過濾）,OK,ret_lag1,0.00048787131335263867,0.00039628155852820823,1.2311229297790067,0.21827970812694164,103515,258,478,0.0011355623397902859,True,,dense=13734;sparse=89781
R15 門檻 ≤999 檔/篇（不過濾）,OK,ret_lag4,-0.0006172737908976203,0.00041928471709590633,-1.4722067505179932,0.14096811730579284,103515,258,478,0.0011355623397902859,True,,dense=13734;sparse=89781
R15 門檻 ≤999 檔/篇（不過濾）,OK,ret_lag25,0.00043457343128171515,0.0003716842157155556,1.1692006625707445,0.24232550611171533,103515,258,478,0.0011355623397902859,True,,dense=13734;sparse=89781
R15 門檻 ≤999 檔/篇（不過濾）,OK,log_market_cap,-0.002186055955464322,0.0005712377678039866,-3.826875740146161,0.00012985675849774836,103515,258,478,0.0011355623397902859,True,,dense=13734;sparse=89781
R15 門檻 ≤999 檔/篇（不過濾）,OK,turnover,-0.0008565790054332454,0.0003501999888994028,-2.445970966833192,0.01444792809746076,103515,258,478,0.0011355623397902859,True,,dense=13734;sparse=89781
R15 門檻 ≤999 檔/篇（不過濾）,OK,amihud,-0.00037798631762593404,0.00014423013249997062,-2.620716705131024,0.0087758053103002,103515,258,478,0.0011355623397902859,True,,dense=13734;sparse=89781
R15 門檻 ≤999 檔/篇（不過濾）,OK,foreign_holding_pct,0.0012773306202156717,0.0005983687341056682,2.134688106865729,0.032788853781801075,103515,258,478,0.0011355623397902859,True,,dense=13734;sparse=89781
