model,status,term,coef,se,t,p,n_obs,n_entities,n_periods,r2_within,diagnostic,note,tier_composition
T6R-dense-h5,OK,ret_lag25,-0.0008207358205670432,0.0010963225101075949,-0.7486262600651106,0.4541171996750253,5564,36,447,0.004030633477029699,True,,dense=5564
T6R-dense-h5,OK,log_market_cap,-0.013164954143810938,0.005417910699792003,-2.4298950044186496,0.015137655894632118,5564,36,447,0.004030633477029699,True,,dense=5564
T6R-dense-h5,OK,turnover,-8.801505089040149e-05,0.0010739847527695668,-0.08195186259714612,0.9346882251211515,5564,36,447,0.004030633477029699,True,,dense=5564
T6R-dense-h5,OK,amihud,-0.001757383302224826,0.001114461133197522,-1.576890615451688,0.11488303580208337,5564,36,447,0.004030633477029699,True,,dense=5564
T6R-dense-h5,OK,foreign_holding_pct,-0.003198246696026903,0.0026571832055647207,-1.203622952805466,0.22879149404318722,5564,36,447,0.004030633477029699,True,,dense=5564
T6R-dense-h6,OK,abn_attention_weekend,0.00013831221425927308,0.0005509200154035309,0.2510567966167719,0.8017803897077194,5550,36,446,0.0036944306695751994,True,,dense=5550
T6R-dense-h6,OK,ret_lag1,-0.0004713361096462197,0.0014748538750512402,-0.319581565075282,0.7492987417611259,5550,36,446,0.0036944306695751994,True,,dense=5550
T6R-dense-h6,OK,ret_lag4,0.0019318790087479727,0.001057087659822053,1.827548539421205,0.0676761855080874,5550,36,446,0.0036944306695751994,True,,dense=5550
T6R-dense-h6,OK,ret_lag25,-0.0013758044803503574,0.0010722577240292429,-1.2830912284599556,0.19951886905278626,5550,36,446,0.0036944306695751994,True,,dense=5550
T6R-dense-h6,OK,log_market_cap,-0.010906195927991948,0.004873991125180032,-2.2376314703669267,0.02528844239635397,5550,36,446,0.0036944306695751994,True,,dense=5550
T6R-dense-h6,OK,turnover,-0.0008068553526767382,0.001055834400945852,-0.7641874066178656,0.4447911961266806,5550,36,446,0.0036944306695751994,True,,dense=5550
T6R-dense-h6,OK,amihud,-0.0015814508023159497,0.0011329868994314819,-1.3958244381373706,0.16282859809191907,5550,36,446,0.0036944306695751994,True,,dense=5550
T6R-dense-h6,OK,foreign_holding_pct,-0.0023007661527828147,0.0031119049747150027,-0.739343319117103,0.45973284043101814,5550,36,446,0.0036944306695751994,True,,dense=5550
T6R-dense-h7,OK,abn_attention_weekend,-0.0002504754464869444,0.0007013434193979383,-0.3571366602426565,0.7210044295084046,5536,36,445,0.0039304739303333,True,,dense=5536
T6R-dense-h7,OK,ret_lag1,-0.0003195469835345389,0.0009840490346465468,-0.32472668767904905,0.7454013902205783,5536,36,445,0.0039304739303333,True,,dense=5536
T6R-dense-h7,OK,ret_lag4,0.002586115972300904,0.0013227030041037707,1.955175095450236,0.05061751047103735,5536,36,445,0.0039304739303333,True,,dense=5536
T6R-dense-h7,OK,ret_lag25,-0.0020156468619926394,0.0010986603507916184,-1.8346405789016635,0.06661777877727215,5536,36,445,0.0039304739303333,True,,dense=5536
T6R-dense-h7,OK,log_market_cap,-0.010360455809048883,0.00512265187642703,-2.022478993102131,0.04317952006688186,5536,36,445,0.0039304739303333,True,,dense=5536
T6R-dense-h7,OK,turnover,-6.030649581197682e-05,0.0010596839801685907,-0.05690988723108029,0.9546192305725425,5536,36,445,0.0039304739303333,True,,dense=5536
T6R-dense-h7,OK,amihud,-0.0005164718021195294,0.001159314008703541,-0.44549776699161864,0.6559791771125263,5536,36,445,0.0039304739303333,True,,dense=5536
T6R-dense-h7,OK,foreign_holding_pct,-0.000607504671265379,0.002868868790269819,-0.21175756567390552,0.8323047241340795,5536,36,445,0.0039304739303333,True,,dense=5536
T6R-dense-h8,OK,abn_attention_weekend,0.00011356219154743192,0.0004874460763978743,0.2329738550500458,0.8157911796222082,5521,36,444,0.0015596198929465066,True,,dense=5521
T6R-dense-h8,OK,ret_lag1,-0.001122097365353634,0.0012571465947744673,-0.8925747959846629,0.3721275858322386,5521,36,444,0.0015596198929465066,True,,dense=5521
T6R-dense-h8,OK,ret_lag4,0.0021564153244298307,0.001309609931883419,1.646608865686118,0.09970088673556643,5521,36,444,0.0015596198929465066,True,,dense=5521
T6R-dense-h8,OK,ret_lag25,-0.0014651774606652059,0.0009572402702499631,-1.530626642235398,0.12592452758347727,5521,36,444,0.0015596198929465066,True,,dense=5521
T6R-dense-h8,OK,log_market_cap,-0.007912464612013155,0.004727389348248749,-1.6737492999057313,0.09424200656125947,5521,36,444,0.0015596198929465066,True,,dense=5521
T6R-dense-h8,OK,turnover,-0.0006339279003855578,0.0013805094687067581,-0.45919851674716333,0.6461114428081207,5521,36,444,0.0015596198929465066,True,,dense=5521
T6R-dense-h8,OK,amihud,-0.0006086608754394899,0.001221096981354734,-0.49845416435655837,0.6181857451621711,5521,36,444,0.0015596198929465066,True,,dense=5521
T6R-dense-h8,OK,foreign_holding_pct,-0.0014936681717185318,0.0031054754190341146,-0.4809789066638635,0.6305523940198792,5521,36,444,0.0015596198929465066,True,,dense=5521
T6R-sparse-h1,OK,abn_attention_weekend,0.0005560175362047504,0.0002764940490607773,2.010956612243506,0.04433409462062121,66800,252,478,0.003805976194667049,True,,sparse=66800
T6R-sparse-h1,OK,att_zero_base,0.00019251171526490286,0.00036213199242787704,0.5316064840729141,0.5950003604571141,66800,252,478,0.003805976194667049,True,,sparse=66800
T6R-sparse-h1,OK,ret_lag1,0.00021492324590536235,0.0004216534050567948,0.5097154281877865,0.6102525453691166,66800,252,478,0.003805976194667049,True,,sparse=66800
T6R-sparse-h1,OK,ret_lag4,-0.00038018093667876844,0.00047293620983990557,-0.803873606564116,0.42147286692058383,66800,252,478,0.003805976194667049,True,,sparse=66800
T6R-sparse-h1,OK,ret_lag25,0.0007553421794192841,0.000424061487543409,1.7812090972820624,0.07488289126130576,66800,252,478,0.003805976194667049,True,,sparse=66800
T6R-sparse-h1,OK,log_market_cap,-0.008202088658171154,0.0013396449055790842,-6.122584144509296,9.258644961818163e-10,66800,252,478,0.003805976194667049,True,,sparse=66800
T6R-sparse-h1,OK,turnover,-0.0005456819333100084,0.0003910969745905307,-1.3952599195668147,0.16294216403077533,66800,252,478,0.003805976194667049,True,,sparse=66800
