ticker,first_date,last_date,n_days,n_adjustments,min_adj_factor,n_missing_close,n_missing_inst,adjustment_method,adjustment_verified
1904,2014-01-02,2025-03-31,2742,12,0.6058585771674503,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1905,2014-01-02,2025-03-31,2732,7,0.7969886738690867,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1906,2014-01-02,2025-03-31,2742,10,0.7449318401843951,0,385,backward from TaiwanStockDividendResult before/after reference price,True
1907,2014-01-02,2025-03-31,2742,11,0.6491445336439328,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1909,2014-01-02,2025-03-31,2742,16,0.6016640113444415,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2002,2014-01-02,2025-03-31,2742,12,0.6530206412337279,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2006,2014-01-02,2025-03-31,2735,13,0.6961876129050155,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2007,2014-01-02,2025-03-31,2735,1,1.0,0,751,backward from TaiwanStockDividendResult before/after reference price,True
2008,2014-01-02,2025-03-31,2742,4,0.9164502393315692,26,851,backward from TaiwanStockDividendResult before/after reference price,True
2009,2014-01-02,2025-03-31,2742,6,0.8364748691167867,0,404,backward from TaiwanStockDividendResult before/after reference price,True
2010,2014-01-02,2025-03-31,2742,12,0.547935546800546,0,330,backward from TaiwanStockDividendResult before/after reference price,True
2012,2014-01-02,2025-03-31,2742,15,0.5461997157452829,2,594,backward from TaiwanStockDividendResult before/after reference price,True
2013,2014-01-02,2025-03-31,2742,12,0.6915716012067754,0,403,backward from TaiwanStockDividendResult before/after reference price,True
2014,2014-01-02,2025-03-31,2742,5,0.8712028902892056,0,312,backward from TaiwanStockDividendResult before/after reference price,True
2015,2014-01-02,2025-03-31,2742,12,0.4979647853725476,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2059,2014-01-02,2025-03-31,2742,12,0.7866875631661835,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2062,2014-01-02,2025-03-31,2742,13,0.6578690111073096,0,312,backward from TaiwanStockDividendResult before/after reference price,True
2072,2020-11-30,2025-03-31,1050,0,1.0,0,1050,no ex-rights/dividend event in window,True
2101,2014-01-02,2025-03-31,2742,11,0.9213286532999013,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2102,2014-01-02,2025-03-31,2741,5,0.8570000491454369,1,312,backward from TaiwanStockDividendResult before/after reference price,True
2103,2014-01-02,2025-03-31,2742,12,0.5843845826050919,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2104,2014-01-02,2025-03-31,2742,10,0.49727471899241066,2,313,backward from TaiwanStockDividendResult before/after reference price,True
2105,2014-01-02,2025-03-31,2742,12,0.6286319113818466,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2106,2014-01-02,2025-03-31,2742,12,0.5334040374579266,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2107,2014-01-02,2025-03-31,2717,15,0.580505181285948,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2108,2014-01-02,2025-03-31,2742,12,0.47169532207474507,0,313,backward from TaiwanStockDividendResult before/after reference price,True
2109,2014-01-02,2025-03-31,2735,15,0.7351016527534048,0,441,backward from TaiwanStockDividendResult before/after reference price,True
2114,2014-01-02,2025-03-31,2742,12,0.40970911851343494,0,545,backward from TaiwanStockDividendResult before/after reference price,True
2208,2014-01-02,2025-03-31,2735,7,0.7840459655283265,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2302,2014-01-02,2025-03-31,2742,8,0.7824180664062274,0,603,backward from TaiwanStockDividendResult before/after reference price,True
2303,2014-01-02,2025-03-31,2742,12,0.5656918445516613,1,312,backward from TaiwanStockDividendResult before/after reference price,True
2308,2014-01-02,2025-03-31,2742,13,0.7034805487840866,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2312,2014-01-02,2025-03-31,2742,10,0.7801341745819237,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2313,2014-01-02,2025-03-31,2742,12,0.6479692498974086,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2316,2014-01-02,2025-03-31,2724,13,0.8103643612601993,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2317,2014-01-02,2025-03-31,2736,13,0.5897847800318932,1,312,backward from TaiwanStockDividendResult before/after reference price,True
2323,2014-01-02,2025-03-31,2719,6,0.8288441538257753,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2327,2014-01-02,2025-03-31,2710,18,0.595629400275324,4,307,backward from TaiwanStockDividendResult before/after reference price,True
2328,2014-01-02,2025-03-31,2742,12,0.6926917171839754,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2329,2014-01-02,2025-03-31,2735,6,0.8536532956330626,0,312,backward from TaiwanStockDividendResult before/after reference price,True
2330,2014-01-02,2025-03-31,2742,32,0.719495347880009,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2337,2014-01-02,2025-03-31,2733,8,0.7436280351636921,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2338,2014-01-02,2025-03-31,2742,9,0.7330604422976035,0,317,backward from TaiwanStockDividendResult before/after reference price,True
2340,2014-01-02,2025-03-31,2725,12,0.7644534063975168,0,310,backward from TaiwanStockDividendResult before/after reference price,True
2342,2014-01-02,2025-03-31,2734,9,0.8710414639917841,0,504,backward from TaiwanStockDividendResult before/after reference price,True
2344,2014-01-02,2025-03-31,2742,11,0.7542746771466523,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2347,2014-01-02,2025-03-31,2742,12,0.4927056599252902,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2349,2014-01-02,2025-03-31,2722,3,1.0,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2351,2014-01-02,2025-03-31,2742,12,0.6400610806699533,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2354,2014-01-02,2025-03-31,2742,12,0.6295631902014905,1,312,backward from TaiwanStockDividendResult before/after reference price,True
2355,2014-01-02,2025-03-31,2742,12,0.6364275783582437,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2359,2014-01-02,2025-03-31,2735,13,0.6436313157797487,0,312,backward from TaiwanStockDividendResult before/after reference price,True
2360,2014-01-02,2025-03-31,2742,12,0.7059312633950197,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2367,2014-01-02,2025-03-31,2742,10,0.7298763906309352,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2373,2014-01-02,2025-03-31,2732,13,0.6009230961651987,1,339,backward from TaiwanStockDividendResult before/after reference price,True
2374,2014-01-02,2025-03-31,2734,12,0.6231506172601559,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2390,2014-01-02,2025-03-31,2735,5,0.9232181013653755,0,314,backward from TaiwanStockDividendResult before/after reference price,True
2393,2014-01-02,2025-03-31,2742,12,0.4923644704273065,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2404,2014-01-02,2025-03-31,2735,13,0.5030607290096512,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2406,2014-01-02,2025-03-31,2737,4,0.9511223060957686,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2409,2014-01-02,2025-03-31,2735,12,0.6579987119151606,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2414,2014-01-02,2025-03-31,2742,12,0.46011285364201404,0,535,backward from TaiwanStockDividendResult before/after reference price,True
2423,2014-01-02,2025-03-31,2742,12,0.4718836910774327,0,529,backward from TaiwanStockDividendResult before/after reference price,True
2426,2014-01-02,2025-03-31,2732,12,0.6421114484032312,0,301,backward from TaiwanStockDividendResult before/after reference price,True
2427,2014-01-02,2025-03-31,2742,12,0.7418380442011238,0,410,backward from TaiwanStockDividendResult before/after reference price,True
2429,2014-01-02,2025-03-31,2713,3,0.7493573264781491,417,1513,backward from TaiwanStockDividendResult before/after reference price,True
2430,2014-01-02,2025-03-31,2735,13,0.6673735722874167,0,378,backward from TaiwanStockDividendResult before/after reference price,True
2433,2014-01-02,2025-03-31,2742,12,0.4266960188067865,1,522,backward from TaiwanStockDividendResult before/after reference price,True
2438,2014-01-02,2025-03-31,2725,4,1.0,17,1044,backward from TaiwanStockDividendResult before/after reference price,True
2453,2014-01-02,2025-03-31,2742,12,0.5652760237764665,0,472,backward from TaiwanStockDividendResult before/after reference price,True
2466,2014-01-02,2025-03-31,2742,4,0.887193193241541,0,437,backward from TaiwanStockDividendResult before/after reference price,True
2468,2014-01-02,2025-03-31,2742,12,0.6825813712010961,0,871,backward from TaiwanStockDividendResult before/after reference price,True
2471,2014-01-02,2025-03-31,2742,12,0.44748680681165254,0,871,backward from TaiwanStockDividendResult before/after reference price,True
2480,2014-01-02,2025-03-31,2734,13,0.5475822074958713,0,320,backward from TaiwanStockDividendResult before/after reference price,True
2601,2014-01-02,2025-03-31,2742,4,0.8188690130622526,1,312,backward from TaiwanStockDividendResult before/after reference price,True
2603,2014-01-02,2025-03-31,2735,11,0.45235172413793107,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2605,2014-01-02,2025-03-31,2742,12,0.6421540152598614,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2606,2014-01-02,2025-03-31,2742,12,0.5688484519759512,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2607,2014-01-02,2025-03-31,2742,13,1.2560624879166584,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2608,2014-01-02,2025-03-31,2742,12,0.606798077656314,0,312,backward from TaiwanStockDividendResult before/after reference price,True
2609,2014-01-02,2025-03-31,2733,6,0.4821803450491167,0,312,backward from TaiwanStockDividendResult before/after reference price,True
2610,2014-01-02,2025-03-31,2742,7,0.8073579315768992,0,311,backward from TaiwanStockDividendResult before/after reference price,True
