kind,ticker,status,n_rows,first,last
inst,1506,MISSING,0,,
inst,1513,MISSING,0,,
inst,1514,MISSING,0,,
inst,1515,MISSING,0,,
inst,1517,MISSING,0,,
inst,1519,MISSING,0,,
inst,1526,MISSING,0,,
inst,1527,MISSING,0,,
inst,1603,MISSING,0,,
inst,1604,MISSING,0,,
inst,1605,MISSING,0,,
inst,1608,MISSING,0,,
inst,1609,MISSING,0,,
inst,1611,MISSING,0,,
inst,1612,MISSING,0,,
inst,1614,MISSING,0,,
inst,1615,MISSING,0,,
inst,1616,MISSING,0,,
inst,1707,MISSING,0,,
inst,1720,MISSING,0,,
inst,1731,MISSING,0,,
inst,1733,MISSING,0,,
inst,1734,MISSING,0,,
inst,1752,MISSING,0,,
inst,1760,MISSING,0,,
inst,1762,MISSING,0,,
inst,1783,MISSING,0,,
inst,1786,MISSING,0,,
inst,1708,MISSING,0,,
inst,1709,MISSING,0,,
inst,1710,MISSING,0,,
inst,1711,MISSING,0,,
inst,1712,MISSING,0,,
inst,1713,MISSING,0,,
inst,1714,MISSING,0,,
inst,1717,MISSING,0,,
inst,1718,MISSING,0,,
inst,1721,MISSING,0,,
inst,1802,MISSING,0,,
inst,1806,MISSING,0,,
inst,1809,MISSING,0,,
inst,1810,MISSING,0,,
inst,1817,MISSING,0,,
inst,1903,MISSING,0,,
inst,1904,MISSING,0,,
inst,1905,MISSING,0,,
inst,1906,MISSING,0,,
inst,1907,MISSING,0,,
inst,1909,MISSING,0,,
inst,6790,MISSING,0,,
inst,2002,MISSING,0,,
inst,2006,MISSING,0,,
inst,2007,MISSING,0,,
inst,2008,MISSING,0,,
inst,2009,MISSING,0,,
inst,2010,MISSING,0,,
inst,2012,MISSING,0,,
inst,2013,MISSING,0,,
inst,2014,MISSING,0,,
inst,2015,MISSING,0,,
inst,2062,MISSING,0,,
inst,3557,MISSING,0,,
inst,6671,MISSING,0,,
inst,6754,MISSING,0,,
inst,6807,MISSING,0,,
inst,8464,MISSING,0,,
inst,8482,MISSING,0,,
inst,9911,MISSING,0,,
inst,9924,MISSING,0,,
inst,9934,MISSING,0,,
inst,2072,MISSING,0,,
inst,3708,MISSING,0,,
inst,5292,MISSING,0,,
inst,6581,MISSING,0,,
inst,6641,MISSING,0,,
inst,6869,MISSING,0,,
inst,6873,MISSING,0,,
inst,6887,MISSING,0,,
inst,6923,MISSING,0,,
inst,6944,MISSING,0,,
inst,2101,MISSING,0,,
inst,2102,MISSING,0,,
inst,2103,MISSING,0,,
inst,2104,MISSING,0,,
inst,2105,MISSING,0,,
inst,2106,MISSING,0,,
inst,2107,MISSING,0,,
inst,2108,MISSING,0,,
inst,2109,MISSING,0,,
inst,2114,MISSING,0,,
inst,2208,MISSING,0,,
inst,2601,MISSING,0,,
inst,2603,MISSING,0,,
inst,2605,MISSING,0,,
inst,2606,MISSING,0,,
inst,2607,MISSING,0,,
inst,2608,MISSING,0,,
inst,2609,MISSING,0,,
inst,2610,MISSING,0,,
inst,2611,MISSING,0,,
inst,2302,MISSING,0,,
inst,2303,MISSING,0,,
inst,2329,MISSING,0,,
inst,2330,MISSING,0,,
inst,2337,MISSING,0,,
inst,2338,MISSING,0,,
inst,2340,MISSING,0,,
inst,2342,MISSING,0,,
inst,2344,MISSING,0,,
inst,2351,MISSING,0,,
inst,2312,MISSING,0,,
inst,2317,MISSING,0,,
inst,2354,MISSING,0,,
inst,2359,MISSING,0,,
inst,2360,MISSING,0,,
inst,2373,MISSING,0,,
inst,2390,MISSING,0,,
inst,2404,MISSING,0,,
inst,2423,MISSING,0,,
inst,2433,MISSING,0,,
inst,2323,MISSING,0,,
inst,2349,MISSING,0,,
inst,2374,MISSING,0,,
inst,2393,MISSING,0,,
inst,2406,MISSING,0,,
inst,2409,MISSING,0,,
inst,2426,MISSING,0,,
inst,2429,MISSING,0,,
inst,2438,MISSING,0,,
inst,2466,MISSING,0,,
inst,2347,MISSING,0,,
inst,2414,MISSING,0,,
inst,2430,MISSING,0,,
inst,3010,MISSING,0,,
inst,3028,MISSING,0,,
inst,3033,MISSING,0,,
inst,3036,MISSING,0,,
inst,3048,MISSING,0,,
inst,3054,MISSING,0,,
inst,3055,MISSING,0,,
inst,2427,MISSING,0,,
inst,2453,MISSING,0,,
inst,2468,MISSING,0,,
