ticker,name_short,sector,n_matches,n_articles,n_weeks_nonzero,first_match,last_match,share_code_match,share_weekend
1514,亞力,電機機械,152,152,67,2015-04-27 16:57:02,2024-11-22 19:03:37,1.0,0.05921052631578947
2727,王品,觀光餐旅,152,152,97,2015-05-07 10:10:11,2024-11-08 12:57:36,1.0,0.14473684210526316
8926,台汽電,油電燃氣,151,151,102,2015-04-29 15:54:30,2024-08-14 12:41:58,0.5033112582781457,0.25165562913907286
2845,遠東銀,金融,150,150,109,2015-07-13 23:28:02,2025-01-20 13:28:35,1.0,0.1
1734,杏輝,生技,147,147,59,2015-05-11 16:12:24,2024-12-26 17:09:39,0.3673469387755102,0.17687074829931973
1434,福懋,紡織,147,147,109,2015-05-04 23:00:52,2024-12-31 14:00:03,0.5238095238095238,0.1836734693877551
1308,亞聚,塑膠,136,136,89,2015-04-27 23:16:04,2024-11-07 11:59:34,0.6323529411764706,0.10294117647058823
2393,億光,光電,130,130,97,2015-05-04 11:05:15,2024-12-26 21:16:43,0.47692307692307695,0.14615384615384616
2849,安泰銀,金融,130,130,96,2015-04-29 19:29:33,2025-01-08 12:16:34,0.3,0.16923076923076924
2328,廣宇,電子零組件,128,128,81,2015-05-14 16:49:13,2025-01-17 08:29:11,0.5703125,0.078125
3029,零壹,資訊服務,128,128,92,2015-04-27 18:39:10,2024-12-26 17:47:53,1.0,0.0859375
1217,愛之味,食品,124,124,77,2015-05-27 11:45:46,2024-12-17 23:27:30,0.5967741935483871,0.1532258064516129
1712,興農,化學,124,124,88,2015-05-08 22:53:05,2024-11-08 16:16:28,0.4596774193548387,0.24193548387096775
2103,台橡,橡膠,124,124,91,2015-05-07 17:19:27,2024-07-09 11:58:23,0.782258064516129,0.10483870967741936
2015,豐興,鋼鐵,123,123,93,2015-04-29 18:16:43,2024-11-30 13:13:14,0.6747967479674797,0.21138211382113822
1718,中纖,化學,121,121,86,2015-05-04 23:04:29,2024-09-16 09:42:06,0.7024793388429752,0.10743801652892562
1309,台達化,塑膠,120,120,84,2015-05-22 10:52:31,2024-12-22 11:41:38,0.4166666666666667,0.20833333333333334
2104,國際中橡,橡膠,119,119,82,2015-05-27 08:30:02,2023-03-29 16:02:37,0.7563025210084033,0.13445378151260504
1104,環泥,水泥,119,119,83,2015-05-08 16:11:05,2024-11-07 15:40:51,0.8067226890756303,0.24369747899159663
1711,永光,化學,118,118,52,2015-05-15 21:44:04,2024-09-20 21:56:51,0.6016949152542372,0.0847457627118644
2374,佳能,光電,117,117,52,2015-04-28 20:41:02,2025-01-17 23:23:38,0.7692307692307693,0.07692307692307693
1905,華紙,造紙,116,116,74,2015-05-26 23:24:57,2024-06-26 18:36:10,0.5775862068965517,0.08620689655172414
1721,三晃,化學,114,114,35,2015-10-30 10:38:44,2024-10-24 23:54:50,0.6842105263157895,0.06140350877192982
1515,力山,電機機械,113,113,81,2015-10-13 17:16:56,2024-11-29 09:00:13,1.0,0.1504424778761062
1752,南光,生技,113,113,75,2015-05-11 15:35:21,2024-12-26 17:09:39,0.8407079646017699,0.09734513274336283
2106,建大,橡膠,109,109,91,2015-04-30 08:30:02,2024-08-01 09:00:29,0.5871559633027523,0.12844036697247707
1527,鑽全,電機機械,109,109,81,2015-05-13 13:04:44,2025-01-01 17:13:57,0.7889908256880734,0.12844036697247707
1409,新纖,紡織,107,107,82,2015-04-30 09:42:48,2025-01-10 11:33:42,0.6915887850467289,0.11214953271028037
2707,晶華,觀光餐旅,106,106,77,2015-05-04 16:59:25,2025-01-19 15:26:18,1.0,0.16981132075471697
2723,美食-KY,觀光餐旅,105,105,83,2015-05-04 22:46:11,2024-11-28 22:57:27,1.0,0.14285714285714285
2601,益航,航運,104,104,69,2015-08-30 13:47:58,2024-10-08 22:09:13,0.6346153846153846,0.2403846153846154
2608,嘉里大榮,航運,103,103,67,2015-07-26 19:12:48,2024-12-21 22:18:31,0.6116504854368932,0.1941747572815534
1603,華電,電器電纜,103,103,73,2015-05-01 21:33:50,2025-01-10 11:46:40,0.32038834951456313,0.13592233009708737
2102,泰豐,橡膠,99,99,59,2015-06-16 23:12:40,2025-01-17 00:10:39,0.6666666666666666,0.050505050505050504
1720,生達,生技,98,98,73,2015-07-11 20:16:14,2024-12-19 20:25:41,0.6530612244897959,0.11224489795918367
1522,堤維西,汽車,97,97,67,2015-06-10 17:25:51,2024-11-07 16:53:36,0.5154639175257731,0.17525773195876287
2480,敦陽科,資訊服務,96,96,75,2015-05-12 16:03:34,2024-10-16 13:53:34,0.6041666666666666,0.25
1524,耿鼎,汽車,96,96,55,2015-05-29 21:13:51,2025-01-08 14:00:03,0.6770833333333334,0.125
1313,聯成,塑膠,93,93,65,2015-06-12 23:32:26,2024-12-03 11:52:19,0.5913978494623656,0.0967741935483871
3033,威健,電子通路,92,92,71,2015-08-20 19:10:41,2024-12-02 17:32:38,0.7934782608695652,0.13043478260869565
2342,茂矽,半導體,91,91,63,2015-05-05 20:54:51,2024-10-11 22:42:40,0.7142857142857143,0.14285714285714285
