ticker,name_short,venue,source,official_abbreviation,name_matches_official,listing_date,is_ky
9908,大台北,TWSE,TWSE t187ap03_L,大台北,1,1991-02-06,0
9918,欣天然,TWSE,TWSE t187ap03_L,欣天然,1,1994-04-26,0
9926,新海,TWSE,TWSE t187ap03_L,新海,1,1998-04-08,0
9931,欣高,TWSE,TWSE t187ap03_L,欣高,1,2000-03-21,0
9937,全國,TWSE,TWSE t187ap03_L,全國,1,2000-09-11,0
2701,萬企,TWSE,TWSE t187ap03_L,萬企,1,1965-03-22,0
2702,華園,TWSE,TWSE t187ap03_L,華園,1,1965-02-14,0
2704,國賓,TWSE,TWSE t187ap03_L,國賓,1,1982-11-10,0
2705,六福,TWSE,TWSE t187ap03_L,六福,1,1988-12-24,0
2706,第一店,TWSE,TWSE t187ap03_L,第一店,1,1991-06-25,0
2707,晶華,TWSE,TWSE t187ap03_L,晶華,1,1998-03-09,0
2712,遠雄來,TWSE,TWSE t187ap03_L,遠雄來,1,2013-12-03,0
2722,夏都,TWSE,TWSE t187ap03_L,夏都,1,2012-03-14,0
2723,美食-KY,TWSE,TWSE t187ap03_L,美食-KY,1,2010-11-22,1
2727,王品,TWSE,TWSE t187ap03_L,王品,1,2012-03-06,0
2801,彰銀,TWSE,TWSE t187ap03_L,彰銀,1,1962-02-15,0
2812,台中銀,TWSE,TWSE t187ap03_L,台中銀,1,1984-05-15,0
2816,旺旺保,TWSE,TWSE t187ap03_L,旺旺保,1,1992-05-05,0
2820,華票,TWSE,TWSE t187ap03_L,華票,1,1994-10-26,0
2832,台產,TWSE,TWSE t187ap03_L,台產,1,1997-09-30,0
2834,臺企銀,TWSE,TWSE t187ap03_L,臺企銀,1,1998-01-03,0
2836,高雄銀,TWSE,TWSE t187ap03_L,高雄銀,1,1998-05-18,0
2838,聯邦銀,TWSE,TWSE t187ap03_L,聯邦銀,1,1998-06-29,0
2845,遠東銀,TWSE,TWSE t187ap03_L,遠東銀,1,1998-11-27,0
2849,安泰銀,TWSE,TWSE t187ap03_L,安泰銀,1,1999-09-27,0
2901,欣欣,TWSE,TWSE t187ap03_L,欣欣,1,1976-05-07,0
2903,遠百,TWSE,TWSE t187ap03_L,遠百,1,1978-10-11,0
2905,三商,TWSE,TWSE t187ap03_L,三商,1,1988-09-19,0
2906,高林,TWSE,TWSE t187ap03_L,高林,1,1989-12-26,0
2908,特力,TWSE,TWSE t187ap03_L,特力,1,1993-02-18,0
2910,統領,TWSE,TWSE t187ap03_L,統領,1,1996-12-30,0
2911,麗嬰房,TWSE,TWSE t187ap03_L,麗嬰房,1,1997-01-18,0
2912,統一超,TWSE,TWSE t187ap03_L,統一超,1,1997-08-22,0
2913,農林,TWSE,TWSE t187ap03_L,農林,1,1962-02-09,0
2915,潤泰全,TWSE,TWSE t187ap03_L,潤泰全,1,1977-07-20,0
3130,一零四,TWSE,TWSE t187ap03_L,一零四,1,2006-02-17,0
6165,浪凡,TWSE,TWSE t187ap03_L,浪凡,1,2003-08-04,0
6614,資拓宏宇,TWSE,TWSE t187ap03_L,資拓宏宇,1,2025-11-25,0
6689,伊雲谷,TWSE,TWSE t187ap03_L,伊雲谷,1,2022-09-13,0
6902,GOGOLOOK,TWSE,TWSE t187ap03_L,GOGOLOOK,1,2023-07-13,0
6906,現觀科,TWSE,TWSE t187ap03_L,現觀科,1,2024-01-15,0
7721,微程式,TWSE,TWSE t187ap03_L,微程式,1,2025-07-29,0
7722,LINEPAY,TWSE,TWSE t187ap03_L,LINEPAY,1,2024-12-05,0
7765,中華資安,TWSE,TWSE t187ap03_L,中華資安,1,2025-09-08,0
8454,富邦媒,TWSE,TWSE t187ap03_L,富邦媒,1,2014-12-19,0
