ticker,month,n_matches
1301,2016-09,15
1301,2016-10,20
1301,2016-11,17
1301,2016-12,31
1301,2017-01,16
1301,2017-02,23
1301,2017-03,12
1301,2017-04,19
1301,2017-05,18
1301,2017-06,6
1301,2017-07,4
1301,2017-08,8
1301,2017-09,3
1301,2017-10,2
1301,2017-11,4
1301,2017-12,6
1301,2018-01,5
1301,2018-02,6
1301,2018-03,11
1301,2018-04,6
1301,2018-05,12
1301,2018-06,12
1301,2018-07,8
1301,2018-08,8
1301,2018-09,12
1301,2018-10,15
1301,2018-11,10
1301,2018-12,11
1301,2019-01,20
1301,2019-02,4
1301,2019-03,4
1301,2019-04,13
1301,2019-05,8
1301,2019-06,9
1301,2019-07,6
1301,2019-08,2
1301,2019-09,12
1301,2019-10,8
1301,2019-11,2
1301,2019-12,12
1301,2020-01,1
1301,2020-03,24
1301,2020-04,12
1301,2020-05,21
1301,2020-06,7
1301,2020-07,9
1301,2020-08,8
1301,2020-09,7
1301,2020-10,1
1301,2020-11,5
1301,2020-12,8
1301,2021-01,19
1301,2021-02,6
1301,2021-03,11
1301,2021-04,29
1301,2021-05,30
1301,2021-06,15
1301,2021-07,29
1301,2021-08,22
1301,2021-09,35
1301,2021-10,35
1301,2021-11,4
1301,2021-12,9
1301,2022-01,8
1301,2022-02,6
1301,2022-03,12
1301,2022-04,16
1301,2022-05,4
1301,2022-06,17
1301,2022-07,19
1301,2022-08,12
1301,2022-09,8
1301,2022-10,13
1301,2022-11,3
1301,2022-12,18
1301,2023-01,2
1301,2023-02,1
1301,2023-03,13
1301,2023-04,15
1301,2023-05,1
1301,2023-06,5
1301,2023-07,6
1301,2023-08,6
1301,2023-09,2
1301,2023-10,2
1301,2023-11,3
1301,2023-12,2
1301,2024-01,8
1301,2024-02,4
1301,2024-03,13
1301,2024-04,6
1301,2024-05,9
1301,2024-06,27
1301,2024-07,16
1301,2024-08,7
1301,2024-09,29
1301,2024-10,5
1301,2024-11,10
1301,2024-12,47
1301,2025-01,39
1303,2015-05,1
1303,2015-06,6
1303,2015-07,6
1303,2015-08,6
1303,2015-09,2
1303,2015-10,7
1303,2015-11,1
1303,2015-12,3
1303,2016-01,6
1303,2016-03,5
1303,2016-04,1
1303,2016-05,4
1303,2016-06,3
1303,2016-07,5
1303,2016-08,2
1303,2016-09,2
1303,2016-10,2
1303,2016-11,1
1303,2016-12,2
1303,2017-01,1
1303,2017-02,2
1303,2017-04,3
1303,2017-05,5
1303,2017-06,2
1303,2017-07,2
1303,2017-08,1
1303,2017-09,3
1303,2017-10,1
1303,2017-11,2
1303,2017-12,2
1303,2018-02,1
1303,2018-03,2
1303,2018-04,2
1303,2018-05,3
1303,2018-06,1
1303,2018-07,1
1303,2018-08,3
1303,2018-09,1
1303,2018-10,1
1303,2018-12,4
1303,2019-01,4
1303,2019-02,1
1303,2019-04,5
1303,2019-06,2
1303,2019-07,1
1303,2019-08,2
1303,2019-09,1
1303,2019-10,1
1303,2020-01,1
1303,2020-02,2
1303,2020-03,5
1303,2020-04,3
1303,2020-06,3
1303,2020-12,1
1303,2021-01,3
1303,2021-02,1
1303,2021-03,4
1303,2021-04,17
1303,2021-05,4
1303,2021-06,7
1303,2021-07,13
1303,2021-08,4
1303,2021-09,12
1303,2021-10,8
1303,2021-11,4
1303,2021-12,3
1303,2022-01,9
1303,2022-02,2
1303,2022-03,3
1303,2022-04,5
1303,2022-05,3
1303,2022-06,4
1303,2022-07,9
1303,2022-08,3
1303,2022-09,1
1303,2022-10,9
1303,2022-11,17
1303,2022-12,7
1303,2023-01,1
1303,2023-02,2
1303,2023-03,8
1303,2023-04,9
1303,2023-05,11
1303,2023-06,2
1303,2023-07,3
1303,2023-08,2
1303,2023-09,1
1303,2023-10,2
1303,2023-11,8
1303,2023-12,1
1303,2024-01,4
1303,2024-02,1
1303,2024-03,3
