ticker,name_short,sector,n_code_matches,n_name_matches,n_nonzero_weeks_code,n_nonzero_weeks_name,corr_test_powered,code_name_corr,corr_verdict,corr_fail,already_code_only,recommend_demote_to_code_only,n_obs,beta_turnover,t_turnover,beta_absret,t_absret,comovement_pass,comovement_note,match_quality_tier
2015,豐興,鋼鐵,195,40,116,35,True,0.06942629672601074,fail,True,False,True,501.0,0.1534635999581203,3.9287594791997718,-0.03939291919999688,-0.0360444905450432,True,,B_code_only
2059,川湖,電子零組件,430,32,197,26,True,0.22400740067987504,fail,True,False,True,501.0,0.21182397893553906,6.681425337031456,1.9061491214145518,2.555405829652156,True,,B_code_only
2062,橋椿,居家生活,185,7,114,7,False,,insufficient_power,False,False,False,501.0,0.06538881669954963,4.124767392426058,0.6183317002493229,1.1305157456476183,True,,D_corr_untested
2072,世紀風電,綠能環保,10,19,10,17,False,,insufficient_power,False,False,False,,,,,,,,D_corr_untested
2101,南港,橡膠,189,0,112,0,False,,insufficient_power,False,True,False,501.0,0.042600003545553655,3.1289022471473706,0.2810584435978314,0.43655045682172866,True,,B_code_only
2102,泰豐,橡膠,181,33,111,23,True,0.1646041680695082,fail,True,False,True,501.0,0.04650521469506533,1.8302205656748973,0.25521709897375366,0.39376109404852216,False,,C_suspect_no_comovement
2103,台橡,橡膠,344,27,184,23,False,,insufficient_power,False,False,False,501.0,0.09570886993637473,4.0338300963963105,1.6480441650462339,2.6886098945290966,True,,D_corr_untested
2104,國際中橡,橡膠,279,29,148,23,False,,insufficient_power,False,False,False,501.0,0.10551721075719055,4.729997835726993,1.6161316754583965,1.480499806595149,True,,D_corr_untested
2105,正新,橡膠,982,125,333,97,True,-0.0021621273185586775,fail,True,False,True,501.0,0.35780007827298643,5.6819344894283565,-0.6353821846111594,-0.512595692986736,True,,B_code_only
2106,建大,橡膠,222,45,132,43,True,-0.036622085599068634,fail,True,False,True,501.0,0.09202976486525036,3.3625550467793826,0.37191144663393505,0.36014242592502343,True,,B_code_only
2107,厚生,橡膠,98,13,59,11,False,,insufficient_power,False,False,False,498.0,0.02071970579615294,1.7871292058825996,1.0845054085252679,1.6346212323080898,False,,C_suspect_no_comovement
2108,南帝,橡膠,403,55,194,44,True,0.29625001852419974,fail,True,False,True,501.0,0.20141421844224439,5.028112109767262,1.4190219673455038,2.163162334567154,True,,B_code_only
2109,華豐,橡膠,93,7,57,6,False,,insufficient_power,False,False,False,500.0,0.017948199233211157,2.283415340393951,-0.03043872192043104,-0.121419335704745,True,,D_corr_untested
2114,鑫永銓,橡膠,108,11,67,11,False,,insufficient_power,False,False,False,501.0,0.01361378890128433,1.2732659686553183,0.9250283951240956,1.5677906675959157,False,,C_suspect_no_comovement
2208,台船,航運,346,119,187,89,True,0.16483982554748597,fail,True,False,True,500.0,0.11675430739664402,5.57919243926727,1.6208152597002443,2.709707894729976,True,,B_code_only
2302,麗正,半導體,101,7,64,5,False,,insufficient_power,False,False,False,501.0,0.03596084193737861,2.865307958245462,-0.3479289190897388,-2.09946782453846,True,,D_corr_untested
2303,聯電,半導體,4020,2143,465,398,True,0.47232656395877815,fail,True,False,True,501.0,0.8906443205943462,16.04737295739352,-1.4908578895677649,-1.3026072634684638,True,,B_code_only
2308,台達電,電子零組件,1701,743,404,316,True,0.20956828174925435,fail,True,False,True,501.0,0.6407215087812302,7.726782620310032,-0.11913680241994955,-0.1043395150303172,True,,B_code_only
2312,金寶,其他電子,618,208,264,93,True,0.24339665935428345,fail,True,False,True,501.0,0.21428910792600472,6.839094760986494,2.553213382652214,2.7547977757574023,True,,B_code_only
2313,華通,電子零組件,2212,250,440,166,True,0.04758733186038784,fail,True,False,True,501.0,0.5305518662361436,9.628901488565088,-0.24159154489593293,-0.28054345914559065,True,,B_code_only
2316,楠梓電,電子零組件,396,100,198,65,True,0.26135901746212475,fail,True,False,True,498.0,0.16736097897911068,8.419536666294325,1.4134418721331037,1.8067274252331815,True,,B_code_only
2317,鴻海,其他電子,4837,3211,496,488,True,0.19297915247542888,fail,True,False,True,501.0,0.6868906195362134,15.856971804382708,1.7478928486557683,1.7931671633567086,True,,B_code_only
2323,中環,光電,1101,327,346,161,True,0.2471945723974366,fail,True,False,True,498.0,0.294940379356789,7.31319834975115,0.6522853004892688,0.830154801098127,True,,B_code_only
2327,國巨*,電子零組件,1421,1414,379,283,True,0.5262689822480425,pass,False,False,False,498.0,0.5846869974585205,14.962429377585114,1.5691255242434654,1.5023122438074792,True,,A_clean
2328,廣宇,電子零組件,268,55,155,38,True,0.10909860243130255,fail,True,False,True,501.0,0.14364647094085128,5.9779043339633295,0.48772616777389577,0.7615033275072474,True,,B_code_only
2329,華泰,半導體,526,81,190,61,True,0.2883510487064317,fail,True,False,True,500.0,0.15850097228115423,5.996258687816065,1.9700398448191334,2.4576126260493556,True,,B_code_only
2330,台積電,半導體,8444,20292,504,505,True,0.7621152938958498,pass,False,False,False,501.0,0.8360537504196978,6.695995576134707,5.357245883358504,2.7792220368883536,True,,A_clean
2337,旺宏,半導體,2028,574,440,231,True,0.18651068988692673,fail,True,False,True,500.0,0.4994886974710647,19.840782065215713,1.5708655850316893,2.668421809176646,True,,B_code_only
2338,光罩,半導體,546,120,206,93,True,0.12817098008096026,fail,True,False,True,501.0,0.14187358500466948,8.234543307578017,1.0710088222723848,2.045849062041906,True,,B_code_only
2340,台亞,半導體,437,17,193,15,False,,insufficient_power,False,False,False,499.0,0.15824958442706205,6.006137857829808,1.1418243283235494,1.5455011537923946,True,,D_corr_untested
2342,茂矽,半導體,173,26,95,23,False,,insufficient_power,False,False,False,501.0,0.06252174073753158,4.498577702636215,0.34204445957291,1.1718367442001565,True,,D_corr_untested
2344,華邦電,半導體,2156,697,448,258,True,0.19773279129245727,fail,True,False,True,501.0,0.5209974225102654,10.265626610487496,0.09865917238093017,0.11677949412042596,True,,B_code_only
2347,聯強,電子通路,1282,72,338,62,True,0.026722600459086168,fail,True,False,True,501.0,0.35451158291540524,5.880988017832642,-1.4661542423171618,-1.0691172605423083,True,,B_code_only
2349,錸德,光電,392,98,143,57,True,0.5552805417650767,pass,False,False,False,498.0,0.2223530510090138,4.369345962355562,1.9942653290369396,3.1920976602846207,True,,A_clean
2351,順德,半導體,594,57,237,46,True,0.22211273248604804,fail,True,False,True,501.0,0.19575499362877496,6.050914817064232,0.723425489590942,1.3151248805190092,True,,B_code_only
2354,鴻準,其他電子,876,144,300,100,True,0.25606278611994404,fail,True,False,True,501.0,0.31103434732931845,7.852183027442114,2.9066262189147722,2.414567154313713,True,,B_code_only
2355,敬鵬,電子零組件,434,25,218,18,False,,insufficient_power,False,False,False,501.0,0.12861276205312372,4.843940705599887,1.3410645528105516,1.5342643835174443,True,,D_corr_untested
2359,所羅門,其他電子,320,77,137,47,True,0.483145554282929,fail,True,False,True,501.0,0.16189505866175263,4.18143870375404,2.3356476324286777,2.7141388136315583,True,,B_code_only
2360,致茂,其他電子,569,45,244,40,True,0.054098233599680294,fail,True,False,True,501.0,0.18117609274826382,5.904707532600719,0.7920094746379426,1.0936047728680507,True,,B_code_only
2367,燿華,電子零組件,806,108,277,72,True,0.35554737542207004,fail,True,False,True,501.0,0.23300961415202237,8.713812395429018,3.0589630229101092,3.507518451573588,True,,B_code_only
2373,震旦行,其他電子,108,20,68,16,False,,insufficient_power,False,False,False,500.0,0.0437524778907594,2.346477123023178,2.0206419567715264,2.4124084743892196,True,,D_corr_untested
