ticker,name_short,sector,listing_date,delisting_date,listed_before_sample_end,n_panel_weeks,first_panel_week,last_panel_week,excluded_reason
2373,震旦行,其他電子,1991-08-01,,True,506,2015-05-03,2025-01-05,
2390,云辰,其他電子,1999-06-15,,True,506,2015-05-03,2025-01-05,
2404,漢唐,其他電子,2000-03-14,,True,506,2015-05-03,2025-01-05,
2423,固緯,其他電子,2000-09-11,,True,506,2015-05-03,2025-01-05,
2433,互盛電,其他電子,2000-09-11,,True,506,2015-05-03,2025-01-05,
2323,中環,光電,1992-02-17,,True,506,2015-05-03,2025-01-05,
2349,錸德,光電,1996-04-23,,True,506,2015-05-03,2025-01-05,
2374,佳能,光電,1995-01-16,,True,506,2015-05-03,2025-01-05,
2393,億光,光電,1999-11-04,,True,506,2015-05-03,2025-01-05,
2406,國碩,光電,2000-04-29,,True,506,2015-05-03,2025-01-05,
2409,友達,光電,2000-09-08,,True,506,2015-05-03,2025-01-05,
2426,鼎元,光電,2000-09-11,,True,506,2015-05-03,2025-01-05,
2429,銘旺科,光電,2000-09-11,,True,506,2015-05-03,2025-01-05,
2438,翔耀,光電,2000-09-11,,True,506,2015-05-03,2025-01-05,
2466,冠西電,光電,2001-09-17,,True,506,2015-05-03,2025-01-05,
2347,聯強,電子通路,1995-12-13,,True,506,2015-05-03,2025-01-05,
2414,精技,電子通路,2000-09-11,,True,506,2015-05-03,2025-01-05,
2430,燦坤,電子通路,2000-09-11,,True,506,2015-05-03,2025-01-05,
3010,華立,電子通路,2002-07-22,,True,506,2015-05-03,2025-01-05,
3028,增你強,電子通路,2002-08-26,,True,506,2015-05-03,2025-01-05,
3033,威健,電子通路,2002-08-26,,True,506,2015-05-03,2025-01-05,
3036,文曄,電子通路,2002-08-26,,True,506,2015-05-03,2025-01-05,
3048,益登,電子通路,2002-10-01,,True,506,2015-05-03,2025-01-05,
3054,立萬利,電子通路,2002-11-18,,True,506,2015-05-03,2025-01-05,
3055,蔚華科,電子通路,2002-12-12,,True,506,2015-05-03,2025-01-05,
2427,三商電,資訊服務,2000-09-11,,True,506,2015-05-03,2025-01-05,
2453,凌群,資訊服務,2001-05-22,,True,506,2015-05-03,2025-01-05,
2468,華經,資訊服務,2001-09-17,,True,506,2015-05-03,2025-01-05,
2471,資通,資訊服務,2001-09-17,,True,506,2015-05-03,2025-01-05,
2480,敦陽科,資訊服務,2001-09-17,,True,506,2015-05-03,2025-01-05,
3029,零壹,資訊服務,2002-08-26,,True,506,2015-05-03,2025-01-05,
4994,傳奇,資訊服務,2013-12-25,,True,506,2015-05-03,2025-01-05,
5203,訊連,資訊服務,2004-09-27,,True,506,2015-05-03,2025-01-05,
6112,邁達特,資訊服務,2003-08-04,,True,506,2015-05-03,2025-01-05,
6183,關貿,資訊服務,2011-12-01,,True,506,2015-05-03,2025-01-05,
2616,山隆,油電燃氣,1997-11-08,,True,506,2015-05-03,2025-01-05,
6505,台塑化,油電燃氣,2003-12-26,,True,506,2015-05-03,2025-01-05,
8926,台汽電,油電燃氣,2003-08-25,,True,506,2015-05-03,2025-01-05,
9908,大台北,油電燃氣,1991-02-06,,True,506,2015-05-03,2025-01-05,
9918,欣天然,油電燃氣,1994-04-26,,True,506,2015-05-03,2025-01-05,
9926,新海,油電燃氣,1998-04-08,,True,506,2015-05-03,2025-01-05,
9931,欣高,油電燃氣,2000-03-21,,True,506,2015-05-03,2025-01-05,
9937,全國,油電燃氣,2000-09-11,,True,506,2015-05-03,2025-01-05,
2701,萬企,觀光餐旅,1965-03-22,,True,506,2015-05-03,2025-01-05,
2702,華園,觀光餐旅,1965-02-14,,True,506,2015-05-03,2025-01-05,
2704,國賓,觀光餐旅,1982-11-10,,True,506,2015-05-03,2025-01-05,
2705,六福,觀光餐旅,1988-12-24,,True,506,2015-05-03,2025-01-05,
2706,第一店,觀光餐旅,1991-06-25,,True,506,2015-05-03,2025-01-05,
2707,晶華,觀光餐旅,1998-03-09,,True,506,2015-05-03,2025-01-05,
2712,遠雄來,觀光餐旅,2013-12-03,,True,506,2015-05-03,2025-01-05,
2722,夏都,觀光餐旅,2012-03-14,,True,506,2015-05-03,2025-01-05,
2723,美食-KY,觀光餐旅,2010-11-22,,True,506,2015-05-03,2025-01-05,
2727,王品,觀光餐旅,2012-03-06,,True,506,2015-05-03,2025-01-05,
2801,彰銀,金融,1962-02-15,,True,506,2015-05-03,2025-01-05,
2812,台中銀,金融,1984-05-15,,True,506,2015-05-03,2025-01-05,
2816,旺旺保,金融,1992-05-05,,True,506,2015-05-03,2025-01-05,
2820,華票,金融,1994-10-26,,True,506,2015-05-03,2025-01-05,
2832,台產,金融,1997-09-30,,True,506,2015-05-03,2025-01-05,
2834,臺企銀,金融,1998-01-03,,True,506,2015-05-03,2025-01-05,
2836,高雄銀,金融,1998-05-18,,True,506,2015-05-03,2025-01-05,
2838,聯邦銀,金融,1998-06-29,,True,506,2015-05-03,2025-01-05,
2845,遠東銀,金融,1998-11-27,,True,506,2015-05-03,2025-01-05,
2849,安泰銀,金融,1999-09-27,,True,506,2015-05-03,2025-01-05,
2901,欣欣,貿易百貨,1976-05-07,,True,506,2015-05-03,2025-01-05,
2903,遠百,貿易百貨,1978-10-11,,True,506,2015-05-03,2025-01-05,
2905,三商,貿易百貨,1988-09-19,,True,506,2015-05-03,2025-01-05,
2906,高林,貿易百貨,1989-12-26,,True,506,2015-05-03,2025-01-05,
2908,特力,貿易百貨,1993-02-18,,True,506,2015-05-03,2025-01-05,
2910,統領,貿易百貨,1996-12-30,,True,506,2015-05-03,2025-01-05,
2911,麗嬰房,貿易百貨,1997-01-18,,True,506,2015-05-03,2025-01-05,
2912,統一超,貿易百貨,1997-08-22,,True,506,2015-05-03,2025-01-05,
2913,農林,貿易百貨,1962-02-09,,True,506,2015-05-03,2025-01-05,
2915,潤泰全,貿易百貨,1977-07-20,,True,506,2015-05-03,2025-01-05,
3130,一零四,數位雲端,2006-02-17,,True,506,2015-05-03,2025-01-05,
6165,浪凡,數位雲端,2003-08-04,,True,506,2015-05-03,2025-01-05,
6614,資拓宏宇,數位雲端,2025-11-25,,False,0,,,TWSE 上市日晚於主樣本結束日，無任何觀測
6689,伊雲谷,數位雲端,2022-09-13,,True,121,2022-09-18,2025-01-05,
6902,GOGOLOOK,數位雲端,2023-07-13,,True,78,2023-07-16,2025-01-05,
6906,現觀科,數位雲端,2024-01-15,,True,51,2024-01-21,2025-01-05,
7721,微程式,數位雲端,2025-07-29,,False,0,,,TWSE 上市日晚於主樣本結束日，無任何觀測
7722,LINEPAY,數位雲端,2024-12-05,,True,5,2024-12-08,2025-01-05,
7765,中華資安,數位雲端,2025-09-08,,False,0,,,TWSE 上市日晚於主樣本結束日，無任何觀測
8454,富邦媒,數位雲端,2014-12-19,,True,506,2015-05-03,2025-01-05,
